Timestamp,User,Fingerprint Score,Iris Score,Fusion Score,Result
2026-03-05 23:27:16,person1,0.994,0.968,0.981,GRANTED
2026-03-05 23:27:39,Mismatch,0.993,0.958,0,DENIED
2026-03-05 23:27:52,Mismatch,0.991,0.395,0,DENIED
2026-03-05 23:28:05,Mismatch,0.99,0.971,0,DENIED
2026-03-05 23:28:24,Mismatch,0.99,0.971,0,DENIED
2026-03-05 23:40:00,person1,0.988,0.965,0.977,GRANTED
2026-03-05 23:40:27,person2,0.993,0.962,0.977,GRANTED
2026-03-05 23:44:29,person2,0.99,0.957,0.974,GRANTED
2026-03-05 23:45:23,Mismatch,0.994,0.961,0,DENIED
2026-03-05 23:45:34,Mismatch,0.99,0.388,0,DENIED
2026-03-05 23:45:43,Mismatch,0.364,0.382,0,DENIED
2026-03-05 23:47:56,Mismatch,0.994,0.963,0,DENIED
2026-03-05 23:48:11,Mismatch,0.988,0.427,0,DENIED
2026-03-05 23:48:20,Mismatch,0.99,0.41,0,DENIED
2026-03-05 23:49:02,person1,0.994,0.965,0.98,GRANTED
2026-03-05 23:56:57,person1,0.994,0.968,0.981,GRANTED
2026-03-06 00:09:07,person1,0.994,0.968,0.981,GRANTED
2026-03-06 00:11:13,Mismatch,0.387,0.963,0,DENIED
2026-03-06 00:11:24,Mismatch,0.988,0.964,0,DENIED
2026-03-06 00:11:36,Mismatch,0.988,0.962,0,DENIED
2026-03-06 09:57:32,person1,0.994,0.968,0.981,GRANTED
2026-03-06 10:00:11,sample,1.0,1.0,1.0,GRANTED
2026-03-06 10:13:34,Mismatch,0.991,0.945,0,DENIED
2026-03-06 10:13:43,Mismatch,0.441,0.968,0,DENIED
2026-03-06 10:13:53,Mismatch,0.988,0.388,0,DENIED
2026-03-06 10:14:49,person1,0.994,0.968,0.981,GRANTED
2026-03-06 11:05:18,person1,0.994,0.968,0.981,GRANTED
2026-03-06 11:06:53,test1,1.0,1.0,1.0,GRANTED
2026-03-06 15:06:50,person3,0.988,0.968,0.978,GRANTED
2026-03-06 15:08:45,test1,1.0,1.0,1.0,GRANTED
2026-03-06 15:09:17,Mismatch,0.994,0.961,0,DENIED
2026-03-06 15:09:31,Mismatch,0.993,0.41,0,DENIED
2026-03-06 15:09:41,Mismatch,0.988,0.962,0,DENIED
2026-03-13 21:40:05,person1,0.994,0.968,0.981,GRANTED
2026-03-13 21:43:46,test1,1.0,1.0,1.0,GRANTED
2026-03-13 21:45:39,Mismatch,0.994,0.945,0,DENIED
2026-03-13 21:45:52,Mismatch,0.99,0.382,0,DENIED
2026-03-13 21:46:09,Mismatch,0.988,0.961,0,DENIED
2026-03-17 12:23:02,person1,0.994,0.968,0.981,GRANTED
2026-03-17 12:53:54,person1,0.994,0.968,0.981,GRANTED
2026-03-17 13:01:10,person1,0.994,0.968,0.981,GRANTED
